Supplier,Equipment
Scitex,Iatroscan
CentriTech,Macfuge 260 - Centrifuge Separator
Filquip Pty,Filter Press
Rowe Scientific,Sieve Sakers
Agridry Systems,Dehydrator shipping container
Hanningfield Process Systems,PSS Combi-Unit/Mill head
Lemitec,Decanter centrifuge
Process Plant Network,IOPAK Basket Centrifuge
Thompsons,Frozen Block Flaker
Cuddon,FD80GP Freeze Dry
Vitalis,FD30 Extraction System F-Series
Sterlitech,Membrane Filtration- Hybrid Skid Configuration
InVitro Technologies,20L continuous Rotavap
InVitro Technologies,Lyovapor
InVitro Technologies,-80 Freezer
InVitro Technologies,50L Rotavap
Scitek,Ethanol Extraction Unit (CES- 300 extraction centrifuge)
Jet Technology,Environmental Recycling System
Container Traders,Shipping container with sliding doors for Drying
Skanos,Jacketed Kettle
Lab Direct,Peristaltic pump and silicone tubing
Foss Pacific,Fibre Analyser
Shimadzu,Lab scale supercritical (SCF)
Green Eco Technologies,Wastemaster
GEA Westfalia Separator,Pilot Scale Homogenizer
InVitro Technologies,"Freeze Dryer (KA), Vacuum oven and drying ovens"
InVitro Technologies,Vacuum Ovens
InVitro Technologies,Convection Ovens
InstruFlow,10L Hydrothermal Reactor
IDM instruments,Paper making machine
Hangcha Forklift Australia,Forklift
Optima,Packaging equipment
,UTE with  Refrigeration Box
GSW Grounds Care,GATOR
Teralba Industries,Mixquip series -drum mixing units
