Segment,Segment_Name,Family,Family_Name,Class,Class_Name,Commodity,Commodity_Name,Unit_Operations,OECD_FOS
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151500,Rubber and plastic processing machinery and equipment and supplies,23151502,Coating machines,encapsulation,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151500,Rubber and plastic processing machinery and equipment and supplies,23151510,Plastic cutting machinery,size_reduction,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151500,Rubber and plastic processing machinery and equipment and supplies,23151512,Rubber or plastic mills,size_reduction,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151600,Cement and ceramics and glass industry machinery and equipment and supplies,23151601,Blowers or dryers,gas_compression;drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151600,Cement and ceramics and glass industry machinery and equipment and supplies,23151602,Crushers,size_reduction,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151600,Cement and ceramics and glass industry machinery and equipment and supplies,23151608,Sifters,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151700,Optical industry machinery and equipment and supplies,23151705,Optical vacuum coating equipment,encapsulation,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151801,Ampoule filling equipment,formulation,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151804,Reactors or fermenters or digesters,fermentation;chemical_reaction,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151805,Filling or sealing auger dose machines,formulation;packaging,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151807,Freezedryers or lyophilzers,drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151808,Granulators,size_enlargement,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151809,Pharmaceutical sieve or screening machines,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151810,Sterile or aseptic processing or filling machines,formulation,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151816,Chromatography columns,chromatography,1.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151817,Chromatography media,chromatography,1.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151800,Pharmaceutical industry machinery and equipment and supplies,23151825,Filter and mixer tank unit,mixing;storage,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23151900,Paper making and paper processing machinery and equipment and supplies,23151907,Screen drum or sieve,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152101,Vibratory separation equipment or parts or screens,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152102,Stationary separation equipment or parts or screens,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152103,Air classification equipment or parts or screens,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152104,Centrifugal separation equipment or parts or screens,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152106,Urethane profile vibratory separation screen,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152107,Profile wire vibratory separation screen,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152108,Punch plate vibratory separation screen,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152109,Urethane coated punch plate vibratory separation screen,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152110,Urethane or rubber wire vibratory separation screen,sieving,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152111,Woven wire vibratory separation screen,sieving;drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152100,Separation machinery and equipment,23152112,Urethane coated woven wire vibratory separation screen,sieving;drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152900,Packaging machinery,23152901,Wrapping machinery,packaging,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152900,Packaging machinery,23152903,Packaging vacuum,packaging,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152900,Packaging machinery,23152904,Packaging hoppers,packaging,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23152900,Packaging machinery,23152907,Packaging machinery supplies,packaging,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23153100,Industrial machinery components and accessories,23153138,Cutting or chipping heads,size_reduction,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23150000,Industrial process machinery and equipment and supplies,23153500,Paint systems,23153503,Paint systems ovens,drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23180000,Industrial food and beverage equipment,23181500,Food preparation machinery,23181501,Filling machinery,formulation,2.9
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23180000,Industrial food and beverage equipment,23181500,Food preparation machinery,23181502,Milling machinery,size_reduction,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23180000,Industrial food and beverage equipment,23181500,Food preparation machinery,23181505,Dehydrating machinery,drying,2.4
23000000,Industrial Manufacturing and Processing Machinery and Accessories,23180000,Industrial food and beverage equipment,23181500,Food preparation machinery,23181512,Cooling machine,cooling,2.4
