equipment_id,equipment_name,manufacturer,model,serial_number,location,facility_id,operational_status,notes,unspsc_code,unspsc_name,unit_operations,oecd_fos,coverage_status
EQ-001,Iatroscan,,,,Waurn Ponds,facility:deakin-biofactory,operational,TLC-FID for lipid analysis,41115701,Gas chromatograph,lipid_analysis;chromatography,1.4,COVERED
EQ-002,Macfuge 260 - Centrifuge Separator,,,,Waurn Ponds,facility:deakin-biofactory,operational,Pilot-scale centrifugal separator,40161701,Centrifuges,solid_liquid_separation,2.4,COVERED
EQ-003,Filter Press,Filquip Pty,,,Waurn Ponds,facility:deakin-biofactory,operational,Plate and frame filtration - GAP REMEDIATED,41104910,Laboratory multi sheet or press filters,solid_liquid_separation,2.4,COVERED
EQ-004,Sieve Shakers,Rowe Scientific,,,Waurn Ponds,facility:deakin-biofactory,operational,Particle size separation,41105002,Sieve shakers,sieving,2.4,COVERED
EQ-005,Dehydrator shipping container,Agridry Systems,,,Waurn Ponds,facility:deakin-biofactory,operational,Large-scale dehydration system,41104507,Drying cabinets or ovens,drying,2.4,COVERED
EQ-006,PSS Combi-Unit/Mill head,Hanningfield Process Systems,,,Waurn Ponds,facility:deakin-biofactory,operational,Size reduction equipment,41101702,Laboratory mills,size_reduction,2.4,COVERED
EQ-007,Decanter centrifuge,Lemitec,,,Waurn Ponds,facility:deakin-biofactory,operational,Continuous solid-liquid separation,40161701,Centrifuges,solid_liquid_separation,2.4,COVERED
EQ-008,IOPAK Basket Centrifuge,Process Plant Network,,,Waurn Ponds,facility:deakin-biofactory,operational,Batch centrifugal separation,40161701,Centrifuges,solid_liquid_separation,2.4,COVERED
EQ-009,Frozen Block Flaker,Cuddon,,,Waurn Ponds,facility:deakin-biofactory,operational,Frozen material size reduction,41101707,Laboratory crushers or pulverizers,size_reduction,2.4,COVERED
EQ-010,FD80GP Freeze Dry,Cuddon,,,Waurn Ponds,facility:deakin-biofactory,operational,Production freeze dryer,24131604,Freeze drying equipment,freeze_drying,2.9,COVERED
EQ-011,FD30 Extraction System F-Series,,,,Waurn Ponds,facility:deakin-biofactory,operational,Supercritical fluid extraction,41104018,Solid phase extraction preparations,extraction,2.4,COVERED
EQ-012,Membrane Filtration- Hybrid Skid,,,,Waurn Ponds,facility:deakin-biofactory,operational,Membrane separation system,40161507,Filter membranes,membrane_separation,2.4,COVERED
EQ-013,20L continuous Rotavap,,,,Waurn Ponds,facility:deakin-biofactory,operational,Solvent evaporation,41104803,Laboratory evaporators,evaporation,2.4,COVERED
EQ-014,Lyovapor,InVitro Technologies,,,Waurn Ponds,facility:deakin-biofactory,operational,Laboratory lyophiliser,41104707,Lyophilizers or freeze dryers,freeze_drying,2.9,COVERED
EQ-015,-80 Freezer,InVitro Technologies,,,Waurn Ponds,facility:deakin-biofactory,operational,Ultra-low temperature storage,41104302,Ultra low and cryogenic freezers,cooling;storage,2.4,COVERED
EQ-016,50L Rotavap,InVitro Technologies,,,Waurn Ponds,facility:deakin-biofactory,operational,Large-scale solvent evaporation,41104803,Laboratory evaporators,evaporation,2.4,COVERED
EQ-017,Ethanol Extraction Unit (CES-300),,,,Waurn Ponds,facility:deakin-biofactory,operational,Solvent extraction with centrifugal separation,41104018,Solid phase extraction preparations,extraction;solid_liquid_separation,2.4,COVERED
EQ-018,Environmental Recycling System,,,,Waurn Ponds,facility:deakin-biofactory,operational,Waste treatment/recycling system,41103211,Laboratory wastewater treatment equipment,waste_treatment,2.4,COVERED
EQ-019,Shipping container with sliding doors for Drying,,,,Waurn Ponds,facility:deakin-biofactory,operational,Container-based drying system,41104507,Drying cabinets or ovens,drying,2.4,COVERED
EQ-020,Jacketed Kettle,,,,Waurn Ponds,facility:deakin-biofactory,operational,Heated mixing vessel,41103808,Laboratory heating mantles,heating;mixing,2.4,COVERED
EQ-021,Peristaltic pump and silicone tubing,,,,Waurn Ponds,facility:deakin-biofactory,operational,Fluid transfer,41105102,Peristaltic pumps,pumping,2.4,COVERED
EQ-022,Fibre Analyser,,,,Waurn Ponds,facility:deakin-biofactory,operational,Dietary fibre analysis,41104808,Crude fiber extractors,fibre_analysis,1.4,COVERED
EQ-023,Lab scale supercritical (SCF),Shimadzu,,,Waurn Ponds,facility:deakin-biofactory,operational,Laboratory supercritical fluid extraction,41115723,Supercritical fluid chromatograph,extraction,2.4,COVERED
EQ-024,Wastemaster,Green Eco Technologies,,,Waurn Ponds,facility:deakin-biofactory,operational,Waste management system,41103211,Laboratory wastewater treatment equipment,waste_treatment,2.4,COVERED
EQ-025,Pilot Scale Homogenizer,,,,Waurn Ponds,facility:deakin-biofactory,operational,High-pressure homogenisation,41101504,Homogenizers,homogenisation,2.4,COVERED
EQ-026,"Freeze Dryer (KA), Vacuum oven and drying ovens",,,,Waurn Ponds,facility:deakin-biofactory,operational,Combined drying systems,41104707,Lyophilizers or freeze dryers,freeze_drying;drying,2.9,COVERED
EQ-027,Vacuum Ovens,,,,Waurn Ponds,facility:deakin-biofactory,operational,Low-temperature vacuum drying,41104509,Vacuum ovens,drying,2.4,COVERED
EQ-028,Convection Ovens,,,,Waurn Ponds,facility:deakin-biofactory,operational,Convective drying,41104501,Laboratory mechanical convection ovens,drying,2.4,COVERED
EQ-029,10L Hydrothermal Reactor,,,,Waurn Ponds,facility:deakin-biofactory,operational,Hydrothermal processing reactor,41103505,Reactors,chemical_reaction;pretreatment,2.4,COVERED
EQ-030,Paper making machine,,,,Waurn Ponds,facility:deakin-biofactory,operational,Fibre sheet forming - specialised,23151815,Sheet or pulp mold systems,formulation,2.9,COVERED
EQ-031,Forklift,,,,Waurn Ponds,facility:deakin-biofactory,operational,Material handling,24101601,Forklifts,conveying,2.4,COVERED
EQ-032,Packaging equipment,,,,Waurn Ponds,facility:deakin-biofactory,operational,Product packaging,23152903,Packaging vacuum,packaging,2.4,COVERED
EQ-035,Mixquip series - drum mixing units,,,,Waurn Ponds,facility:deakin-biofactory,operational,Drum-mounted mixers,23191001,Continuous mixers,mixing,2.4,COVERED
